X,Y,Z,neighborho,street,HouseNumbe,Name,OtherName,Id
34.811281994000105,31.2767738090001,0,רמות,הר תבור,6.0,בית כנסת רמות הר חברון,,3320
34.8074885550001,31.2772349200001,0,רמות,הר רמון,74.0,בית כנסת רמות אור- בנוי,רמות אור,3321
34.802712377,31.2757423080001,0,רמות,גבריאל,10.0,זוהר הרקיע  מקלט,,3322
34.805368964,31.2731233440001,0,רמות,ילין,36.0,בית כנסת רמות אל- בנוי,,3323
34.8051059,31.2739187060001,0,רמות,זרחין,5.0,"מרכז תורני רוחני ""אמרי יוסף""",,3324
34.800875743000105,31.275307007,0,רמות,אביגד,5.0,בית כנסת רינת מרים- שכ' רמות,רינת מרים,3325
34.806501376,31.2744755530001,0,רמות,גינצבורג,15.0,מקלט,אפיקי תימן,3326
34.8073970200001,31.2731761040001,0,רמות,דה שליט,40.0,בית כנסת תפילת חנה,תפילת חנה,3327
34.800183716999996,31.2793603260001,0,רמות,פריבס,4.0,"בית כנסת ""מרום אל""",מרום אל,3328
34.800435641,31.279521537000104,0,רמות,פריבס,4.0,"בית כנסת ""רמות שלמה""",רמות שלמה,3329
34.8047982200001,31.2842506,0,רמות,הנגבי,6.0,בית כנסת קול רינה וישועה,,3330
34.816345509,31.272768339000002,0,רמות,זמיר,74.0,בית כנסת שערי אדגר,רמות בנימין יהודה,3331
34.8159871450001,31.2747715130001,0,רמות,המרד,77.0,"מרכז תורני ""ברית שלום""-שכ' רמות",,3332
34.8241731200001,31.275733889,0,רמות,אמיר,30.0,בית כנסת אור יהל,,3333
34.825344894000104,31.272832426999997,0,רמות,נטר,4.0,בית כנסת חיבת רחל,,3334
34.8102986490001,31.267364158000102,0,רמות,מרש,18.0,בית כנסת רמות שלום,רמות השלום,3335
34.7972349250001,31.2836456910001,0,רמות,שושנה,1.0,בית כנסת- אח ורע,,3336
34.7946545560001,31.249349431,0,א,שפירא,9.0,"בית חב""ד","בית חב""ד המרכזי",3337
34.795998975,31.248898803000003,0,א,מונטיפיורי,7.0,מקלט,,3338
34.794678067000106,31.2487066740001,0,א,שפירא,6.0,,,3339
34.7964882250001,31.248758566,0,א,מונטיפיורי,5.0,,הכוכב,3340
34.795846769,31.2486739240001,0,א,שבזי,5.0,,האבות,3341
34.796020368,31.248569872000104,0,א,שבזי,7.0,,תימני,3342
34.797098131,31.2484132430001,0,א,שבזי,17.0,ישיבת נתיב השבים- שכ' א',נתיב השבים,3343
34.7962005140001,31.248474174000002,0,א,שבזי,9.0,בית כנסת עולי לוב,עולי לוב,3344
34.79634071,31.2484348250001,0,א,שבזי,11.0,,שבזי,3345
34.7965084730001,31.248332497,0,א,שבזי,13.0,,עולי פרס,3346
34.794054015,31.2463842650001,0,א,בר אילן,4.0,,אליהו הנביא,3347
34.793937768,31.2461142710001,0,א,בר אילן,6.0,,בר יוסף,3348
34.792873869000104,31.247254716,0,א,מנדלי מוכר ספרים,9.0,"בית כנסת ""בית ישראל""",בית ישראל,3349
34.7900966870001,31.246473624,0,א,סוקולוב,15.0,בית כנסת בן ציון  (מקווה),,3350
34.7890731210001,31.251679325999998,0,א,תל חי,16.0,,,3351
34.788464063,31.2509939400001,0,א,בזל,51.0,,בית אברהם,3352
34.784890746,31.247992382000103,0,א,הכותל המערבי,41.0,בית כנסת שבטי ישראל,,3353
34.7873553950001,31.249363784,0,א,בזל,28.0,מקלט,,3354
34.7875847450001,31.247842318000004,0,א,הכותל המערבי,10.0,מקלט,שערי בנימין,3355
34.7855400510001,31.249929700000003,0,א,ורבורג,7.0,,ישורון,3356
34.7854053020001,31.2495523700001,0,א,ורבורג,7.0,,בית תפארת משה,3357
34.7904480500001,31.251605776000098,0,א,תל חי,6.0,,מאה ואחד,3358
34.7915686650001,31.248931337,0,א,קפלן,6.0,,סטרומה,3359
34.76211061,31.247058279,0,ט,אגרנט,2.0,בית כנסת שערי ניסים,,3360
34.760665562,31.2524486040001,0,ט,הגאונים,17.0,בית כנסת- בית יוסף,,3361
34.7651641320001,31.246653254,0,ט,שומרון,58.0,בית שלמה- בנוי,בית שלמה,3362
34.764882607000104,31.24590798,0,ט,גורן,59.0,בית כנסת,,3363
34.767476847000104,31.251785689000002,0,ט,עכו,63.0,בית כנסת תפארת וקדושה,בית יאיר מזוז,3364
34.7772219980001,31.246653914,0,ט,ירושלים,38.0,בית כנסת מולדת,,3365
34.771590754,31.247835143000003,0,ט,ירושלים,72.0,בית כנסת אשל אברהם - וגן ילדים,,3366
34.773029572,31.2468709550001,0,ט,ירושלים,68.0,בית כנסת עוז ותעצומת,,3367
34.77642975,31.244769214,0,ט,ירושלים,37.0,בית כנסת אריאל,אריאל,3368
34.7823262200001,31.245585798,0,ט,ירושלים,2.0,,נאות ספיר,3369
34.778124801,31.249673107,0,ה,חרדון,19.0,בית כנסת על עדתי,על עדתי הכיפה,3370
34.774221567,31.254378792000104,0,ה,טבנקין,13.0,בית כנסת מעיין,נחלת יוסף ומרים,3371
34.773286715,31.252207300000002,0,ה,הגלבוע,1.0,,,3372
34.777553879,31.255688008000003,0,ה,סטרומה,41.0,מקווה טהרה,,3373
34.7793628640001,31.255272354000102,0,ה,העליה,47.0,,תורה וחיים,3374
34.778209587,31.253803464,0,ה,סטרומה,23.0,בית כנסת מגן חסידים,מגן חסידים,3375
34.7822820270001,31.253698237,0,ה,העליה,22.0,בית כנסת חיים שלום,,3376
34.7813355660001,31.253529032000102,0,ה,קפריסין,3.0,"בי""כ לעדה האשכנזית",יגל יעקב ישמח ישראל,3377
34.7818032860001,31.252571127000103,0,ה,שאר ישוב,4.0,,,3378
34.782150105,31.252527677,0,ה,שאר ישוב,5.0,,,3379
34.78303062,31.253507523000103,0,ה,יציאת ארופה,5.0,,ר' שמעון בר יוחאי,3380
34.7867817280001,31.2600337390001,0,ו,מבצע נחשון,46.0,,לב מלכים,3381
34.7745482560001,31.260424312000104,0,ו,מבצע עובדה,45.0,בית כנסת אוהל יעקב,,3382
34.776893488,31.2596783490001,0,ו,מבצע עובדה,31.0,בית כנסת לעולי גרוזיה,,3383
34.776729699,31.259367464,0,ו,מבצע עובדה,25.0,,המרכזי מצדה,3384
34.77493474,31.2692802080001,0,ו,חשין,13.0,,אורות הזוהר,3385
34.773734189,31.266330156,0,ו,ברלב,8.0,בית כנסת לעולים חדשים,,3386
34.7765145870001,31.265901318,0,ו,"ח""ן",19.0,"בי""כ תורה וחסד- שכ' ו'",,3387
34.772715163,31.261617255,0,ו,בוגלה,10.0,,,3388
34.773619984,31.2616784750001,0,ו,מבצע עובדה,53.0,"בית מדרש לעולי אתיופיה ""ראו בנים""",,3389
34.770138844,31.265848296000097,0,ו,שטיין,24.0,מקלט,,3390
34.784001358000104,31.262555058,0,ו,יהואש,28.0,בית כנסת  נתיבות שלום- שכ 'ו',נתיבות השלום,3391
34.777792813000104,31.260424236000098,0,ו,אבנר,6.0,בית כנסת שלום הגליל,קווקזי,3392
34.7775710180001,31.2604437950001,0,ו,אבנר,6.0,בית כנסת לעדה הקווקזית,עולי גרוזיה,3393
34.777808818000004,31.268237777,0,ו,"אג""ן",4.0,,,3394
34.776779102,31.266719393000102,0,ו,"ח""ן",2.0,,שערי ניסים,3395
34.776711352000106,31.2663623400001,0,ו,"ח""ן",2.0,בית כנסת אוהל מועד,,3396
